id,TLE_LINE1,TLE_LINE2
VANGUARD 1,1 00005U 58002B   26085.41745268  .00000139  00000-0  19327-3 0  9996,2 00005  34.2410 209.7517 1836579 125.2718 253.3781 10.85961350434285
VANGUARD 2,1 00011U 59001A   26085.91990263  .00001129  00000-0  58482-3 0  9990,2 00011  32.8765  36.4802 1445377 308.6962  39.2785 11.90299738525660
VANGUARD R/B,1 00012U 59001B   26085.46974310  .00000429  00000-0  25466-3 0  9994,2 00012  32.8959 156.7553 1646093  27.1000 340.6667 11.48579095521810
VANGUARD R/B,1 00016U 58002A   26085.66194870 -.00000010  00000-0 -11074-5 0  9995,2 00016  34.2584 183.6700 2019531 132.0386 247.0640 10.49580742680247
VANGUARD 3,1 00020U 59007A   26085.66000806  .00000637  00000-0  25006-3 0  9992,2 00020  33.3466 204.0795 1637740 331.1110  20.7674 11.61893087475011
EXPLORER 7,1 00022U 59009A   26085.61188791  .00010657  00000-0  37134-3 0  9999,2 00022  50.2427 147.9476 0079997 151.6098 208.9255 15.27156573787729
TIROS 1,1 00029U 60002B   26085.89879462  .00000717  00000-0  12534-3 0  9996,2 00029  48.3788  55.6860 0022818 274.5546  85.2761 14.78660002529958
TRANSIT 2A,1 00045U 60007A   26085.76327776  .00000530  00000-0  15259-3 0  9991,2 00045  66.6930 218.2082 0253477 220.6202 137.5748 14.35907750368212
SOLRAD 1 (GREB),1 00046U 60007B   26085.41584967  .00001239  00000-0  24458-3 0  9999,2 00046  66.6863  93.8921 0196300 353.3513   6.4996 14.54721268444962
THOR ABLESTAR R/B,1 00047U 60007C   26085.89803601  .00000722  00000-0  17612-3 0  9991,2 00047  66.6628 267.7277 0221214 200.1778 159.0484 14.45212300438910
DELTA 1 R/B,1 00050U 60009B   26085.97462973 -.00000048  00000-0  35520-3 0  9999,2 00050  47.2315  56.9055 0112843 130.0229 231.0526 12.20162849927669
ECHO 1 DEB (METAL OBJ),1 00051U 60009C   26085.60611257 -.00000097  00000-0 -11988-3 0  9998,2 00051  47.2137 304.8940 0108265 311.9731  47.1874 12.18377330921106
ECHO 1 DEB (MYLAR OBJ),1 00052U 60009D   76059.20960648 +.00000225 +00000-0 +10000-3 0  9997,2 00052 047.1450 002.7500 1406000 181.1400 000.0000 12.17682743007435
ECHO 1 DEB (METAL OBJ),1 00053U 60009E   26085.40954271  .00000011  00000-0  93795-3 0  9994,2 00053  47.2762 237.6805 0100054 190.4912 169.3787 12.17406979925345
COURIER 1B,1 00058U 60013A   26085.66435277  .00000119  00000-0  47039-4 0  9992,2 00058  28.3272 198.4667 0164860 244.4989 113.8421 13.46427025222937
THOR ABLESTAR R/B,1 00059U 60013B   26085.66354364  .00000118  00000-0  40871-4 0  9996,2 00059  28.2478 187.5645 0188980 343.0145  16.4142 13.53165913231985
